published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
1/1/2020,314,314,312,313,0,5127,1604871,0
1/2/2020,311,313,311,313,0,11998,3746067,0
1/5/2020,313,321,313,318,1.6,15644,4962350,1
1/6/2020,321,327,321,326,2.52,28001,9077192,1
1/7/2020,331,338,327,334,2.45,59699,19808354,1
1/8/2020,337,337,327,327,-2.1,37066,12300579,-1
1/9/2020,327,333,325,330,0.92,21136,6969761,1
1/12/2020,335,341,332,341,3.33,31499,10601747,1
1/13/2020,342,350,336,346,1.47,46070,15895518,1
1/14/2020,346,346,339,343,-0.87,32388,11093448,-1
1/15/2020,342,352,340,350,2.04,42788,14765666,1
1/16/2020,357,360,349,349,-0.29,50338,17740836,-1
1/19/2020,353,359,351,358,2.58,58480,20804476,1
1/20/2020,360,365,350,351,-1.96,73143,25917028,-1
1/21/2020,349,353,346,353,0.57,20508,7168048,1
1/22/2020,353,353,346,352,-0.28,11912,4161700,-1
1/23/2020,350,352,345,346,-1.7,23388,8153207,-1
1/26/2020,345,348,342,347,0.29,17650,6105956,1
1/27/2020,346,350,345,350,0.86,22763,7908361,1
1/28/2020,353,353,343,346,-1.14,39218,13663806,-1
1/29/2020,347,347,342,343,-0.87,17917,6155861,-1
1/30/2020,343,350,343,347,1.17,23739,8207633,1
2/2/2020,353,356,350,355,2.31,55074,19502732,1
2/3/2020,359,359,352,353,-0.56,41194,14624232,-1
2/4/2020,348,354,348,349,-1.13,21198,7456233,-1
2/5/2020,350,351,346,348,-0.29,12466,4341710,-1
2/6/2020,342,348,342,346,-0.57,27650,9582578,-1
2/9/2020,342,346,340,340,-1.73,17615,6046570,-1
2/10/2020,341,346,340,342,0.59,25325,8658041,1
2/11/2020,343,349,343,348,1.75,27438,9512307,1
2/12/2020,350,352,348,349,0.29,39018,13663170,1
2/13/2020,347,350,344,344,-1.43,27164,9426566,-1
2/16/2020,343,348,341,344,0,29574,10161915,0
2/17/2020,350,357,347,355,3.2,82075,28901892,1
2/18/2020,360,365,355,357,0.56,75852,27267484,1
2/19/2020,352,359,352,357,0,27725,9890329,0
2/20/2020,357,358,354,355,-0.56,54743,19444500,-1
2/23/2020,360,390,360,387,9.01,154623,58107892,1
2/24/2020,394,405,382,390,0.78,137550,54248992,1
2/25/2020,390,399,380,394,1.03,56273,21999944,1
2/26/2020,400,405,395,399,1.27,117668,47064440,1
2/27/2020,399,437,390,424,6.27,215520,88619840,1
3/1/2020,425,436,410,414,-2.36,208901,87950488,-1
3/2/2020,410,410,380,380,-8.21,116890,45977428,-1
3/3/2020,378,398,365,386,1.58,149344,57182576,1
3/4/2020,383,388,368,369,-4.4,127334,47709032,-1
3/5/2020,363,375,356,364,-1.36,70333,25686128,-1
3/10/2020,357,362,343,343,-5.77,65117,22747520,-1
3/11/2020,348,369,341,360,4.96,112939,39958876,1
3/12/2020,367,373,349,349,-3.06,90904,32220932,-1
3/15/2020,343,349,335,335,-4.01,115425,39488720,-1
3/16/2020,334,345,331,335,0,82569,27768544,0
3/17/2020,334,338,324,325,-2.99,79997,26392672,-1
3/18/2020,322,331,308,320,-1.54,47311,15056423,-1
3/19/2020,315,330,303,320,0,97174,31055152,0
3/22/2020,326,332,317,324,1.25,11110,3545950,1
5/12/2020,318,318,318,318,-1.85,25,7950,-1
6/29/2020,312,312,287,305,-2.2,25965,7648135,-1
6/30/2020,305,326,305,326,6.89,7122,2235413,1
7/1/2020,330,344,330,341,4.6,13241,4478266,1
7/2/2020,341,341,307,316,-7.33,36407,11734570,-1
7/5/2020,310,322,310,312,-1.27,46767,14712257,-1
7/6/2020,318,321,310,319,2.24,29742,9383314,1
7/7/2020,324,330,318,325,1.88,21134,6836515,1
7/8/2020,326,328,319,320,-1.54,20288,6544084,-1
7/9/2020,316,327,315,323,0.94,25699,8265311,1
7/12/2020,325,327,320,325,0.62,24763,8000349,1
7/13/2020,320,332,320,327,0.62,12271,4005809,1
7/14/2020,328,331,326,327,0,34079,11205454,0
7/15/2020,328,338,327,330,0.92,20057,6653824,1
7/16/2020,333,354,332,345,4.55,51675,17795480,1
7/19/2020,351,372,351,372,7.83,437,153807,1
7/20/2020,390,409,373,374,0.54,170489,65555168,1
7/21/2020,374,389,362,367,-1.87,86705,32287754,-1
7/22/2020,370,374,362,367,0,45362,16662014,0
7/23/2020,365,369,361,366,-0.27,30954,11287817,-1
7/26/2020,371,376,366,369,0.82,46990,17355868,1
7/27/2020,370,374,370,370,0.27,47950,17812452,1
7/28/2020,371,375,363,371,0.27,37729,13996485,1
7/29/2020,365,370,362,363,-2.16,50086,18320292,-1
7/30/2020,364,366,358,362,-0.28,30440,11018866,-1
8/2/2020,360,360,350,350,-3.31,39308,13911664,-1
8/3/2020,344,362,344,355,1.43,32827,11604259,1
8/5/2020,348,352,342,343,-3.38,50318,17366800,-1
8/6/2020,341,345,336,343,0,30337,10275884,0
8/9/2020,338,340,333,340,-0.87,17245,5835483,-1
8/10/2020,346,351,340,349,2.65,34049,11811668,1
8/11/2020,350,354,349,349,0,18718,6563057,0
8/12/2020,345,352,340,352,0.86,28714,9964761,1
8/13/2020,352,352,343,345,-1.99,21751,7529100,-1
8/16/2020,345,345,330,337,-2.32,28050,9474503,-1
8/17/2020,343,343,335,338,0.3,12060,4058345,1
8/18/2020,339,339,334,335,-0.89,26555,8926139,-1
8/19/2020,333,334,329,331,-1.19,22261,7380847,-1
8/20/2020,332,334,329,330,-0.3,17064,5644785,-1
